name,category,rating_score,rating_count,address
전주 한옥마을 성심,게하 · 한옥,9.9,20,전북특별자치도전주시 완산구 풍남동3가 83-9
전주 한옥마을 한옥미쁨,게하 · 한옥,9.9,70,전라북도 전주시 완산구 풍남동2가 36-2
전주한옥마을 풍남주택,게하 · 한옥,9.7,34,전라북도 전주시 완산구 풍남동3가 88-2 풍남주택
전주 천년의아침,펜션,9.4,5,전북특별자치도 전주시 완산구 풍남동3가 16-24
전주 원색명화마을,게하 · 한옥,9.8,55,전북특별자치도 전주시 완산구 색장동 327-2
전주 한옥마을 여지 게스트하우스,게하 · 한옥,9.6,71,전북특별자치도전주시 완산구 경원동3가 39-4
전주 그날을담다,펜션,10.0,3,전북특별자치도 전주시 완산구 다가동2가 80-4
전주 호스텔게스트하우스,게하 · 한옥,9.5,94,전라북도 전주시 덕진구 우아동3가 745-84
블루보트 게스트하우스 전주점,게하 · 한옥,9.6,98,전라북도 전주시 완산구 경원동1가 52-3 2층
전주한옥마을 서학의 아침 펜션,펜션,10.0,4,전북특별자치도 전주시 완산구 동서학동 166-4
전주 한옥스테이 까치,펜션,10.0,4,전북특별자치도 전주시 완산구 교동 91-8
전주 한옥마을 어린왕자 게스트하우스,게하 · 한옥,9.8,44,전라북도 전주시 완산구 풍남동3가 60-1
전주 쑈드라이브인,모텔,9.5,24,전북특별자치도전주시 덕진구 금암동 764-14
전주 한옥마을 사랑가득,게하 · 한옥,9.6,48,전라북도 전주시 완산구 교동 17-3
전주 시인과짜몽 게스트하우스,게하 · 한옥,9.8,12,전라북도 전주시 완산구 서서학동 252
한옥마을 내 위치한 독채 한옥 숙소 참다원,홈&빌라,9.5,11,전북특별자치도전주시 완산구 교동 16-18
전주 수호텔,모텔,9.3,97,전북특별자치도 전주시 덕진구 우아동2가 923-7
전주 한옥마을 예원당,게하 · 한옥,9.5,62,전라북도 전주시 완산구 풍남동3가 34-9
전주 한옥마을 행복가득,게하 · 한옥,9.7,19,전북특별자치도전주시 완산구 교동 184-3
전주 한옥마을 그림 게스트하우스,게하 · 한옥,9.7,7,전라북도 전주시 완산구 교동 24-7
전주 민트 게스트하우스,게하 · 한옥,9.8,16,전라북도 전주시 완산구 동서학동 65-2
전주 호텔 포레,모텔,9.4,13,전북특별자치도전주시 완산구 중화산동2가 661-1
전주 한옥마을 고희,게하 · 한옥,9.6,12,전라북도 전주시 완산구 서완산동1가 525-22
